STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2016,,503.47,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2015,,499.58,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2014,,481.54,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2013,,493.02,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2012,,505.65,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2011,,504.45,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2010,,469.46,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2009,,479.57,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2008,,520.36,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,FIN,Finland,A,Annual,MWAS_INT,Municipal waste generation per capita,KG_PS,Kilogrammes per person,_T,Total - all activities,2007,,504.91,,A,Normal value,,,0,Units,_Z,Not applicable,,,2,2 years lag,2,Two
